YVON METRAS BEAUJOLAIS MADAME PLACARD;2020;BO;35;1;UNITE;Verif CDT 
JEAN CLAUDE LAPALU BEAUJOLAIS VILLAGES VIEILLES VIGNES;2021;BO;12,5;42;CBO12;Verif CDT 
GEORGES DESCOMBES BROUILLY VIEILLES VIGNES;2018;MG;35;11;CBO6;Verif CDT 
GEORGES DESCOMBES BROUILLY VIEILLES VIGNES;2019;BO;17,5;9;UNITE;Verif CDT 
JEAN CLAUDE LAPALU BROUILLY VIEILLES VIGNES;2020;BO;15;25;CBO12;Verif CDT 
PASCAL AUFRANC CHENAS EN REMONT VIGNES DE;2014;BO;15;1;UNITE;Verif CDT 
PASCAL AUFRANC CHENAS;2005;BO;20;2;UNITE;Verif CDT 
JEAN CLAUDE LAPALU COTE DE BROUILLY;2020;BO;15;12;UNITE;Verif CDT 
DOMAINE DE LA GRAND?COUR FLEURIE CLOS DE LA GRAND COUR;2020;BO;25;27;CBO12;Verif CDT 
DOMAINE DE LA GRAND?COUR FLEURIE PIED DE LA RUE;2018;BO;22,5;18;CBO12;Verif CDT 
GEORGES DESCOMBES FLEURIE;2018;MG;37,5;2;UNITE;Verif CDT 
JEAN FOILLARD FLEURIE;2020;BO;25;6;UNITE;Verif CDT 
JOSEPH CHAMONARD FLEURIE;2019;BO;20;12;UNITE;Verif CDT 
MARC DELIENNE FLEURIE ABBAYE ROAD;2015;BO;25;1;UNITE;Verif CDT 
MARC DELIENNE FLEURIE MAURICE;2018;BO;17,5;17;CBO12;Verif CDT 
YVON METRAS FLEURIE;2020;BO;55;1;UNITE;Verif CDT 
YVON METRAS FLEURIE LE PRINTEMPS;2020;BO;45;1;UNITE;Verif CDT 
CHATEAU DES JACQUES MORGON;2015;BO;15,75;25;CBO12;Verif CDT 
GEORGES DESCOMBES MORGON VIEILLES VIGNES;2018;BO;17,5;8;UNITE;Verif CDT 
JEAN FOILLARD MORGON ATHANOR;2015;BO;42,5;7;UNITE;Verif CDT 
JEAN FOILLARD MORGON CORCELETTE;2019;BO;22,5;15;CBO12;Verif CDT 
JEAN FOILLARD MORGON COTE DU PY;2020;BO;22,5;9;UNITE;Verif CDT 
JEAN FOILLARD MORGON COTE DU PY;2020;MG;47,5;5;UNITE;Verif CDT 
JEAN MARC BURGAUD MORGON COTE DU PY;2014;MG;40;2;UNITE;Verif CDT 
JEAN MARC BURGAUD MORGON COTE DU PY JAVERNIERES;2013;BO;20;3;UNITE;Verif CDT 
JOSEPH CHAMONARD MORGON;2016;BO;20;1;UNITE;Verif CDT 
JOSEPH CHAMONARD MORGON;2018;BO;20;19;CBO12;Verif CDT 
MARCEL LAPIERRE MORGON;2021;BO;18;56;CBO12;Verif CDT 
MARCEL LAPIERRE MORGON;2021;MG;40;12;CBO6;Verif CDT 
NADIA ET THIERRY JANIN MOULIN A VENT L'IRIS;2014;BO;13;1;UNITE;Verif CDT 
NADIA ET THIERRY JANIN MOULIN A VENT L'IRIS ELEVE EN FUT;2014;BO;14;1;UNITE;Verif CDT 
YVON METRAS MOULIN A VENT;2020;BO;55;1;UNITE;Verif CDT 
JEAN MICHEL DUPRE REGNIE (VIGNES DE;2016;BO;10;46;CBO12;Verif CDT 
JEAN MARC BURGAUD REGNIE VALLIERES;2014;BO;15;3;UNITE;Verif CDT 
JEAN CLAUDE LAPALU VIN DE FRANCE AMPHORE ALMA MATER;2019;BO;28;6;UNITE;Verif CDT 
BROUSTET;1985;BO;30;8;UNITE;Verif CDT 
BROUSTET;1985;BO;27;4;UNITE;Verif CDT 
BROUSTET;2005;BO;30;3;UNITE;Verif CDT 
CLIMENS;2005;BO;61,75;1;UNITE;Verif CDT 
NAIRAC;2005;BO;30;8;UNITE;Verif CDT 
CHATEAU MALARTIC;1981;BO;60;3;UNITE;Verif CDT 
DOMAINE DE CAMBES;2016;BO;45;55;CBO12;Verif CDT 
GADRAS;2005;BO;15;32;CBO12;Verif CDT 
PAVILLON BLANC;2008;BO;230;3;UNITE;Verif CDT 
PAVILLON ROUGE;1990;BO;180;1;UNITE;Verif CDT 
PAVILLON ROUGE;1995;BO;166,25;4;UNITE;Verif CDT 
REYNON VIEILLES VIGNES;2002;BO;20;20;CBO12;Verif CDT 
LE PUY CUVEE BARTHELEMY;2017;BO;80;6;UNITE;Verif CDT 
LE PUY EMILIEN;2017;BO;25;2;UNITE;Verif CDT 
CHATEAU MACHORRE;2007;BO;12,5;17;CBO12;Verif CDT 
CHATEAU MACHORRE;2012;BO;8,25;70;CBO12;Verif CDT 
FAYAU;2001;BO;14;1;UNITE;Verif CDT 
LE VERSANT;2019;BO;15;48;CBO12;Verif CDT 
ROC DE CAMBES;2012;BO;55;1;UNITE;Verif CDT 
ROC DE CAMBES;2016;BO;65;85;CBO12;Verif CDT 
CLOS DES LUNELLES;2003;BO;30;3;UNITE;Verif CDT 
LE PUY EMILIEN;2016;BO;25;2;UNITE;Verif CDT 
LE PUY EMILIEN;2017;BO;25;32;CBO12;Verif CDT 
DALEM;1975;BO;75;3;UNITE;Verif CDT 
BRONDELLE;1999;BO;20;4;UNITE;Verif CDT 
CHANTEGRIVE;2002;BO;20;2;UNITE;Verif CDT 
CHANTEGRIVE;2008;BO;20;1;UNITE;Verif CDT 
CRABITEY;2000;BO;15;1;UNITE;Verif CDT 
RESPIDE MEDEVILLE;2004;BO;15;1;UNITE;Verif CDT 
RESPIDE MEDEVILLE;2005;BO;20;1;UNITE;Verif CDT 
BELGRAVE;1983;BO;45;3;UNITE;Verif CDT 
BOYD CANTENAC;2009;BO;55;4;UNITE;Verif CDT 
